#
# wood
#

Acacia Door                              :ACACIA_DOOR
Light Gray Bundle                        :LIGHT_GRAY_BUNDLE
Gray Bundle                              :GRAY_BUNDLE
Black Bundle                             :BLACK_BUNDLE
Brown Bundle                             :BROWN_BUNDLE
Red Bundle                               :RED_BUNDLE
Orange Bundle                            :ORANGE_BUNDLE
Yellow Bundle                            :YELLOW_BUNDLE
Lime Bundle                              :LIME_BUNDLE
Green Bundle                             :GREEN_BUNDLE
Cyan Bundle                              :CYAN_BUNDLE
Light Blue Bundle                        :LIGHT_BLUE_BUNDLE
Blue Bundle                              :BLUE_BUNDLE
Purple Bundle                            :PURPLE_BUNDLE
Magenta Bundle                           :MAGENTA_BUNDLE
Pink Bundle                              :PINK_BUNDLE

Chest                                    :CHEST

#
# utility
#

Anvil                                    :ANVIL
Damaged Anvil                            :DAMAGED_ANVIL
Chipped Anvil                            :CHIPPED_ANVIL
Armor Stand                              :ARMOR_STAND
Beacon                                   :BEACON

White Bed                                :WHITE_BED
Light Gray Bed                           :LIGHT_GRAY_BED
Gray Bed                                 :GRAY_BED
Black Bed                                :BLACK_BED
Brown Bed                                :BROWN_BED
Red Bed                                  :RED_BED
Orange Bed                               :ORANGE_BED
Yellow Bed                               :YELLOW_BED
Lime Bed                                 :LIME_BED
Green Bed                                :GREEN_BED
Cyan Bed                                 :CYAN_BED
Light Blue Bed                           :LIGHT_BLUE_BED
Blue Bed                                 :BLUE_BED
Purple Bed                               :PURPLE_BED
Magenta Bed                              :MAGENTA_BED
Pink Bed                                 :PINK_BED

Blast Furnace                            :BLAST_FURNACE
Brewing Stand                            :BREWING_STAND
Brush                                    :BRUSH
Bucket                                   :BUCKET
Water Bucket                             :WATER_BUCKET
Lava Bucket                              :LAVA_BUCKET
Milk Bucket                              :MILK_BUCKET
Powder Snow Bucket                       :POWDER_SNOW_BUCKET
Campfire                                 :CAMPFIRE
Carrot On A Stick                        :CARROT_ON_A_STICK
Cartography Table                        :CARTOGRAPHY_TABLE
Cauldron                                 :CAULDRON
Water Cauldron                           :WATER_CAULDRON
Lava Cauldron                            :LAVA_CAULDRON
Powder Snow Cauldron                     :POWDER_SNOW_CAULDRON
Clock                                    :CLOCK
Compass                                  :COMPASS
Recovery Compass                         :RECOVERY_COMPASS
Composter                                :COMPOSTER
Conduit                                  :CONDUIT
Crafter                                  :CRAFTER
Crafting Table                           :CRAFTING_TABLE
Enchanting Table                         :ENCHANTING_TABLE
End Crystal                              :END_CRYSTAL
Ender Chest                              :ENDER_CHEST
Firework Rocket                          :FIREWORK_ROCKET
Firework Star                            :FIREWORK_STAR
Fishing Rod                              :FISHING_ROD
Fletching Table                          :FLETCHING_TABLE
Flint And Steel                          :FLINT_AND_STEEL
Furnace                                  :FURNACE
Grindstone                               :GRINDSTONE
Jukebox                                  :JUKEBOX

White Harness                            :WHITE_HARNESS
Light Gray Harness                       :LIGHT_GRAY_HARNESS
Gray Harness                             :GRAY_HARNESS
Black Harness                            :BLACK_HARNESS
Brown Harness                            :BROWN_HARNESS
Red Harness                              :RED_HARNESS
Orange Harness                           :ORANGE_HARNESS
Yellow Harness                           :YELLOW_HARNESS
Lime Harness                             :LIME_HARNESS
Green Harness                            :GREEN_HARNESS
Cyan Harness                             :CYAN_HARNESS
Light Blue Harness                       :LIGHT_BLUE_HARNESS
Blue Harness                             :BLUE_HARNESS
Purple Harness                           :PURPLE_HARNESS
Magenta Harness                          :MAGENTA_HARNESS
Pink Harness                             :PINK_HARNESS

Ladder                                   :LADDER
Lead                                     :LEAD
Lodestone                                :LODESTONE
Loom                                     :LOOM
Map                                      :MAP
Empty Map                                :FILLED_MAP
Name Tag                                 :NAME_TAG
Note Block                               :NOTE_BLOCK
Paper                                    :PAPER
Respawn Anchor                           :RESPAWN_ANCHOR
Saddle                                   :SADDLE
Scaffolding                              :SCAFFOLDING
Shears                                   :SHEARS
Smithing Table                           :SMITHING_TABLE
Smoker                                   :SMOKER
Sponge                                   :SPONGE
Wet Sponge                               :WET_SPONGE
Spyglass                                 :SPYGLASS
Stonecutter                              :STONECUTTER
Tnt                                      :TNT
Totem Of Undying                         :TOTEM_OF_UNDYING
Trial Key                                :TRIAL_KEY
Warped Fungus On A Stick                 :WARPED_FUNGUS_ON_A_STICK

#
# decoration
#

White Banner                             :WHITE_BANNER
White Banner                             :WHITE_WALL_BANNER
Light Gray Banner                        :LIGHT_GRAY_BANNER
Light Gray Banner                        :LIGHT_GRAY_WALL_BANNER
Gray Banner                              :GRAY_BANNER
Gray Banner                              :GRAY_WALL_BANNER
Black Banner                             :BLACK_BANNER
Black Banner                             :BLACK_WALL_BANNER
Brown Banner                             :BROWN_BANNER
Brown Banner                             :BROWN_WALL_BANNER
Red Banner                               :RED_BANNER
Red Banner                               :RED_WALL_BANNER
Orange Banner                            :ORANGE_BANNER
Orange Banner                            :ORANGE_WALL_BANNER
Yellow Banner                            :YELLOW_BANNER
Yellow Banner                            :YELLOW_WALL_BANNER
Lime Banner                              :LIME_BANNER
Lime Banner                              :LIME_WALL_BANNER
Green Banner                             :GREEN_BANNER
Green Banner                             :GREEN_WALL_BANNER
Cyan Banner                              :CYAN_BANNER
Cyan Banner                              :CYAN_WALL_BANNER
Light Blue Banner                        :LIGHT_BLUE_BANNER
Light Blue Banner                        :LIGHT_BLUE_WALL_BANNER
Blue Banner                              :BLUE_BANNER
Blue Banner                              :BLUE_WALL_BANNER
Purple Banner                            :PURPLE_BANNER
Purple Banner                            :PURPLE_WALL_BANNER
Magenta Banner                           :MAGENTA_BANNER
Magenta Banner                           :MAGENTA_WALL_BANNER
Pink Banner                              :PINK_BANNER
Pink Banner                              :PINK_WALL_BANNER

Bordure Indented Banner Pattern          :BORDURE_INDENTED_BANNER_PATTERN
Creeper Banner Pattern                   :CREEPER_BANNER_PATTERN
Field Masoned Banner Pattern             :FIELD_MASONED_BANNER_PATTERN
Flow Banner Pattern                      :FLOW_BANNER_PATTERN
Flower Banner Pattern                    :FLOWER_BANNER_PATTERN
Globe Banner Pattern                     :GLOBE_BANNER_PATTERN
Guster Banner Pattern                    :GUSTER_BANNER_PATTERN
Mojang Banner Pattern                    :MOJANG_BANNER_PATTERN
Piglin Banner Pattern                    :PIGLIN_BANNER_PATTERN
Skull Banner Pattern                     :SKULL_BANNER_PATTERN

Candle                                   :CANDLE
White Candle                             :WHITE_CANDLE
Light Gray Candle                        :LIGHT_GRAY_CANDLE
Gray Candle                              :GRAY_CANDLE
Black Candle                             :BLACK_CANDLE
Brown Candle                             :BROWN_CANDLE
Red Candle                               :RED_CANDLE
Orange Candle                            :ORANGE_CANDLE
Yellow Candle                            :YELLOW_CANDLE
Lime Candle                              :LIME_CANDLE
Green Candle                             :GREEN_CANDLE
Cyan Candle                              :CYAN_CANDLE
Light Blue Candle                        :LIGHT_BLUE_CANDLE
Blue Candle                              :BLUE_CANDLE
Purple Candle                            :PURPLE_CANDLE
Magenta Candle                           :MAGENTA_CANDLE
Pink Candle                              :PINK_CANDLE

White Carpet                             :WHITE_CARPET
Light Gray Carpet                        :LIGHT_GRAY_CARPET
Gray Carpet                              :GRAY_CARPET
Black Carpet                             :BLACK_CARPET
Brown Carpet                             :BROWN_CARPET
Red Carpet                               :RED_CARPET
Orange Carpet                            :ORANGE_CARPET
Yellow Carpet                            :YELLOW_CARPET
Lime Carpet                              :LIME_CARPET
Green Carpet                             :GREEN_CARPET
Cyan Carpet                              :CYAN_CARPET
Light Blue Carpet                        :LIGHT_BLUE_CARPET
Blue Carpet                              :BLUE_CARPET
Purple Carpet                            :PURPLE_CARPET
Magenta Carpet                           :MAGENTA_CARPET
Pink Carpet                              :PINK_CARPET

Bell                                     :BELL
Chain                                    :CHAIN
Bookshelf                                :BOOKSHELF
Chiseled Bookshelf                       :CHISELED_BOOKSHELF

White Dye                                :WHITE_DYE
Light Gray Dye                           :LIGHT_GRAY_DYE
Gray Dye                                 :GRAY_DYE
Black Dye                                :BLACK_DYE
Brown Dye                                :BROWN_DYE
Red Dye                                  :RED_DYE
Orange Dye                               :ORANGE_DYE
Yellow Dye                               :YELLOW_DYE
Lime Dye                                 :LIME_DYE
Green Dye                                :GREEN_DYE
Cyan Dye                                 :CYAN_DYE
Light Blue Dye                           :LIGHT_BLUE_DYE
Blue Dye                                 :BLUE_DYE
Purple Dye                               :PURPLE_DYE
Magenta Dye                              :MAGENTA_DYE
Pink Dye                                 :PINK_DYE

End Rod                                  :END_ROD
Ochre Froglight                          :OCHRE_FROGLIGHT
Pearlescent Froglight                    :PEARLESCENT_FROGLIGHT
Verdant Froglight                        :VERDANT_FROGLIGHT

Glass                                    :GLASS
Glass Bottle                             :GLASS_BOTTLE
Glass Pane                               :GLASS_PANE

White Stained Glass                      :WHITE_STAINED_GLASS
Light Gray Stained Glass                 :LIGHT_GRAY_STAINED_GLASS
Gray Stained Glass                       :GRAY_STAINED_GLASS
Black Stained Glass                      :BLACK_STAINED_GLASS
Brown Stained Glass                      :BROWN_STAINED_GLASS
Red Stained Glass                        :RED_STAINED_GLASS
Orange Stained Glass                     :ORANGE_STAINED_GLASS
Yellow Stained Glass                     :YELLOW_STAINED_GLASS
Lime Stained Glass                       :LIME_STAINED_GLASS
Green Stained Glass                      :GREEN_STAINED_GLASS
Cyan Stained Glass                       :CYAN_STAINED_GLASS
Light Blue Stained Glass                 :LIGHT_BLUE_STAINED_GLASS
Blue Stained Glass                       :BLUE_STAINED_GLASS
Purple Stained Glass                     :PURPLE_STAINED_GLASS
Magenta Stained Glass                    :MAGENTA_STAINED_GLASS
Pink Stained Glass                       :PINK_STAINED_GLASS

White Stained Glass Pane                 :WHITE_STAINED_GLASS_PANE
Light Gray Stained Glass Pane            :LIGHT_GRAY_STAINED_GLASS_PANE
Gray Stained Glass Pane                  :GRAY_STAINED_GLASS_PANE
Black Stained Glass Pane                 :BLACK_STAINED_GLASS_PANE
Brown Stained Glass Pane                 :BROWN_STAINED_GLASS_PANE
Red Stained Glass Pane                   :RED_STAINED_GLASS_PANE
Orange Stained Glass Pane                :ORANGE_STAINED_GLASS_PANE
Yellow Stained Glass Pane                :YELLOW_STAINED_GLASS_PANE
Lime Stained Glass Pane                  :LIME_STAINED_GLASS_PANE
Green Stained Glass Pane                 :GREEN_STAINED_GLASS_PANE
Cyan Stained Glass Pane                  :CYAN_STAINED_GLASS_PANE
Light Blue Stained Glass Pane            :LIGHT_BLUE_STAINED_GLASS_PANE
Blue Stained Glass Pane                  :BLUE_STAINED_GLASS_PANE
Purple Stained Glass Pane                :PURPLE_STAINED_GLASS_PANE
Magenta Stained Glass Pane               :MAGENTA_STAINED_GLASS_PANE
Pink Stained Glass Pane                  :PINK_STAINED_GLASS_PANE

Creaking Heart                           :CREAKING_HEART
Glow Item Frame                          :GLOW_ITEM_FRAME
Heart Of The Sea                         :HEART_OF_THE_SEA
Iron Bars                                :IRON_BARS
Item Frame                               :ITEM_FRAME
Jack O'Lantern                           :JACK_O_LANTERN
Lantern                                  :LANTERN
Lectern                                  :LECTERN
Light                                    :LIGHT
Lightning Rod                            :LIGHTNING_ROD
Painting                                 :PAINTING

Potted Acacia Sapling                    :POTTED_ACACIA_SAPLING
Potted Allium                            :POTTED_ALLIUM
Potted Azalea Bush                       :POTTED_AZALEA_BUSH
Potted Azure Bluet                       :POTTED_AZURE_BLUET
Potted Bamboo                            :POTTED_BAMBOO
Potted Birch Sapling                     :POTTED_BIRCH_SAPLING
Potted Blue Orchid                       :POTTED_BLUE_ORCHID
Potted Brown Mushroom                    :POTTED_BROWN_MUSHROOM
Potted Cactus                            :POTTED_CACTUS
Potted Cherry Sapling                    :POTTED_CHERRY_SAPLING
Potted Cornflower                        :POTTED_CORNFLOWER
Potted Crimson Fungus                    :POTTED_CRIMSON_FUNGUS
Potted Crimson Roots                     :POTTED_CRIMSON_ROOTS
Potted Dandelion                         :POTTED_DANDELION
Potted Dark Oak Sapling                  :POTTED_DARK_OAK_SAPLING
Potted Dead Bush                         :POTTED_DEAD_BUSH
Potted Open Eyeblossom                   :POTTED_OPEN_EYEBLOSSOM
Potted Closed Eyeblossom                 :POTTED_CLOSED_EYEBLOSSOM
Potted Fern                              :POTTED_FERN
Potted Flowering Azalea Bush             :POTTED_FLOWERING_AZALEA_BUSH
Potted Jungle Sapling                    :POTTED_JUNGLE_SAPLING
Potted Lily Of The Valley                :POTTED_LILY_OF_THE_VALLEY
Potted Mangrove Propagule                :POTTED_MANGROVE_PROPAGULE
Potted Oak Sapling                       :POTTED_OAK_SAPLING
Potted Orange Tulip                      :POTTED_ORANGE_TULIP
Potted Oxeye Daisy                       :POTTED_OXEYE_DAISY
Potted Pale Oak Sapling                  :POTTED_PALE_OAK_SAPLING
Potted Pink Tulip                        :POTTED_PINK_TULIP
Potted Poppy                             :POTTED_POPPY
Potted Red Mushroom                      :POTTED_RED_MUSHROOM
Potted Red Tulip                         :POTTED_RED_TULIP
Potted Spruce Sapling                    :POTTED_SPRUCE_SAPLING
Potted Torchflower                       :POTTED_TORCHFLOWER
Potted Warped Fungus                     :POTTED_WARPED_FUNGUS
Potted Warped Roots                      :POTTED_WARPED_ROOTS
Potted White Tulip                       :POTTED_WHITE_TULIP
Potted Wither Rose                       :POTTED_WITHER_ROSE

Sea Lantern                              :SEA_LANTERN
Shroomlight                              :SHROOMLIGHT
Soul Campfire                            :SOUL_CAMPFIRE
Soul Lantern                             :SOUL_LANTERN
Soul Torch                               :SOUL_TORCH
Soul Torch                               :SOUL_WALL_TORCH
Tinted Glass                             :TINTED_GLASS
Torch                                    :TORCH
Torch                                    :WALL_TORCH

Decorated Pot                            :DECORATED_POT
Angler Pottery Sherd                     :ANGLER_POTTERY_SHERD
Archer Pottery Sherd                     :ARCHER_POTTERY_SHERD
Arms Up Pottery Sherd                    :ARMS_UP_POTTERY_SHERD
Blade Pottery Sherd                      :BLADE_POTTERY_SHERD
Brewer Pottery Sherd                     :BREWER_POTTERY_SHERD
Burn Pottery Sherd                       :BURN_POTTERY_SHERD
Danger Pottery Sherd                     :DANGER_POTTERY_SHERD
Explorer Pottery Sherd                   :EXPLORER_POTTERY_SHERD
Flow Pottery Sherd                       :FLOW_POTTERY_SHERD
Friend Pottery Sherd                     :FRIEND_POTTERY_SHERD
Guster Pottery Sherd                     :GUSTER_POTTERY_SHERD
Heart Pottery Sherd                      :HEART_POTTERY_SHERD
Heartbreak Pottery Sherd                 :HEARTBREAK_POTTERY_SHERD
Howl Pottery Sherd                       :HOWL_POTTERY_SHERD
Miner Pottery Sherd                      :MINER_POTTERY_SHERD
Mourner Pottery Sherd                    :MOURNER_POTTERY_SHERD
Plenty Pottery Sherd                     :PLENTY_POTTERY_SHERD
Prize Pottery Sherd                      :PRIZE_POTTERY_SHERD
Scrape Pottery Sherd                     :SCRAPE_POTTERY_SHERD
Sheaf Pottery Sherd                      :SHEAF_POTTERY_SHERD
Shelter Pottery Sherd                    :SHELTER_POTTERY_SHERD
Skull Pottery Sherd                      :SKULL_POTTERY_SHERD
Snort Pottery Sherd                      :SNORT_POTTERY_SHERD

White Wool                               :WHITE_WOOL
Light Gray Wool                          :LIGHT_GRAY_WOOL
Gray Wool                                :GRAY_WOOL
Black Wool                               :BLACK_WOOL
Brown Wool                               :BROWN_WOOL
Red Wool                                 :RED_WOOL
Orange Wool                              :ORANGE_WOOL
Yellow Wool                              :YELLOW_WOOL
Lime Wool                                :LIME_WOOL
Green Wool                               :GREEN_WOOL
Cyan Wool                                :CYAN_WOOL
Light Blue Wool                          :LIGHT_BLUE_WOOL
Blue Wool                                :BLUE_WOOL
Purple Wool                              :PURPLE_WOOL
Magenta Wool                             :MAGENTA_WOOL
Pink Wool                                :PINK_WOOL

Player Head                              :PLAYER_HEAD
Player Head                              :PLAYER_WALL_HEAD
Creeper Head                             :CREEPER_HEAD
Creeper Head                             :CREEPER_WALL_HEAD
Dragon Head                              :DRAGON_HEAD
Dragon Head                              :DRAGON_WALL_HEAD
Piglin Head                              :PIGLIN_HEAD
Piglin Head                              :PIGLIN_WALL_HEAD
Zombie Head                              :ZOMBIE_HEAD
Zombie Head                              :ZOMBIE_WALL_HEAD

#
# other
#

Barrier                                  :BARRIER
Bedrock                                  :BEDROCK
Book                                     :BOOK
Book And Quill                           :WRITABLE_BOOK
Written Book                             :WRITTEN_BOOK
Command Block                            :COMMAND_BLOCK
Repeating Command Block                  :REPEATING_COMMAND_BLOCK
Chain Command Block                      :CHAIN_COMMAND_BLOCK
Debug Stick                              :DEBUG_STICK
Dragon Egg                               :DRAGON_EGG
Echo Shard                               :ECHO_SHARD
End Gateway                              :END_GATEWAY
End Portal                               :END_PORTAL
End Portal Frame                         :END_PORTAL_FRAME
Jigsaw Block                             :JIGSAW
Knowledge Book                           :KNOWLEDGE_BOOK
Lava                                     :LAVA
Monster Spawner                          :SPAWNER

Music Disc 11                            :MUSIC_DISC_11
Music Disc 13                            :MUSIC_DISC_13
Music Disc 5                             :MUSIC_DISC_5
Music Disc Blocks                        :MUSIC_DISC_BLOCKS
Music Disc Cat                           :MUSIC_DISC_CAT
Music Disc Chirp                         :MUSIC_DISC_CHIRP
Music Disc Creator                       :MUSIC_DISC_CREATOR
Music Disc Creator Music Box             :MUSIC_DISC_CREATOR_MUSIC_BOX
Music Disc Far                           :MUSIC_DISC_FAR
Music Disc Lava Chicken                  :MUSIC_DISC_LAVA_CHICKEN
Music Disc Mall                          :MUSIC_DISC_MALL
Music Disc Mellohi                       :MUSIC_DISC_MELLOHI
Music Disc Otherside                     :MUSIC_DISC_OTHERSIDE
Music Disc Pigstep                       :MUSIC_DISC_PIGSTEP
Music Disc Precipice                     :MUSIC_DISC_PRECIPICE
Music Disc Relic                         :MUSIC_DISC_RELIC
Music Disc Stal                          :MUSIC_DISC_STAL
Music Disc Strad                         :MUSIC_DISC_STRAD
Music Disc Tears                         :MUSIC_DISC_TEARS
Music Disc Wait                          :MUSIC_DISC_WAIT
Music Disc Ward                          :MUSIC_DISC_WARD
Disc Fragment 5                          :DISC_FRAGMENT_5

Nether Portal                            :NETHER_PORTAL

Allay Spawn Egg                          :ALLAY_SPAWN_EGG
Armadillo Spawn Egg                      :ARMADILLO_SPAWN_EGG
Axolotl Spawn Egg                        :AXOLOTL_SPAWN_EGG
Bat Spawn Egg                            :BAT_SPAWN_EGG
Bee Spawn Egg                            :BEE_SPAWN_EGG
Blaze Spawn Egg                          :BLAZE_SPAWN_EGG
Bogged Spawn Egg                         :BOGGED_SPAWN_EGG
Breeze Spawn Egg                         :BREEZE_SPAWN_EGG
Camel Spawn Egg                          :CAMEL_SPAWN_EGG
Cat Spawn Egg                            :CAT_SPAWN_EGG
Cave Spider Spawn Egg                    :CAVE_SPIDER_SPAWN_EGG
Chicken Spawn Egg                        :CHICKEN_SPAWN_EGG
Cod Spawn Egg                            :COD_SPAWN_EGG
Cow Spawn Egg                            :COW_SPAWN_EGG
Creaking Spawn Egg                       :CREAKING_SPAWN_EGG
Creeper Spawn Egg                        :CREEPER_SPAWN_EGG
Dolphin Spawn Egg                        :DOLPHIN_SPAWN_EGG
Donkey Spawn Egg                         :DONKEY_SPAWN_EGG
Drowned Spawn Egg                        :DROWNED_SPAWN_EGG
Elder Guardian Spawn Egg                 :ELDER_GUARDIAN_SPAWN_EGG
Ender Dragon Spawn Egg                   :ENDER_DRAGON_SPAWN_EGG
Enderman Spawn Egg                       :ENDERMAN_SPAWN_EGG
Endermite Spawn Egg                      :ENDERMITE_SPAWN_EGG
Evoker Spawn Egg                         :EVOKER_SPAWN_EGG
Fox Spawn Egg                            :FOX_SPAWN_EGG
Frog Spawn Egg                           :FROG_SPAWN_EGG
Ghast Spawn Egg                          :GHAST_SPAWN_EGG
Glow Squid Spawn Egg                     :GLOW_SQUID_SPAWN_EGG
Goat Spawn Egg                           :GOAT_SPAWN_EGG
Guardian Spawn Egg                       :GUARDIAN_SPAWN_EGG
Happy Ghast Spawn Egg                    :HAPPY_GHAST_SPAWN_EGG
Hoglin Spawn Egg                         :HOGLIN_SPAWN_EGG
Horse Spawn Egg                          :HORSE_SPAWN_EGG
Husk Spawn Egg                           :HUSK_SPAWN_EGG
Iron Golem Spawn Egg                     :IRON_GOLEM_SPAWN_EGG
Llama Spawn Egg                          :LLAMA_SPAWN_EGG
Magma Cube Spawn Egg                     :MAGMA_CUBE_SPAWN_EGG
Mooshroom Spawn Egg                      :MOOSHROOM_SPAWN_EGG
Mule Spawn Egg                           :MULE_SPAWN_EGG
Ocelot Spawn Egg                         :OCELOT_SPAWN_EGG
Panda Spawn Egg                          :PANDA_SPAWN_EGG
Parrot Spawn Egg                         :PARROT_SPAWN_EGG
Phantom Spawn Egg                        :PHANTOM_SPAWN_EGG
Pig Spawn Egg                            :PIG_SPAWN_EGG
Piglin Brute Spawn Egg                   :PIGLIN_BRUTE_SPAWN_EGG
Piglin Spawn Egg                         :PIGLIN_SPAWN_EGG
Pillager Spawn Egg                       :PILLAGER_SPAWN_EGG
Polar Bear Spawn Egg                     :POLAR_BEAR_SPAWN_EGG
Pufferfish Spawn Egg                     :PUFFERFISH_SPAWN_EGG
Rabbit Spawn Egg                         :RABBIT_SPAWN_EGG
Ravager Spawn Egg                        :RAVAGER_SPAWN_EGG
Salmon Spawn Egg                         :SALMON_SPAWN_EGG
Sheep Spawn Egg                          :SHEEP_SPAWN_EGG
Shulker Spawn Egg                        :SHULKER_SPAWN_EGG
Silverfish Spawn Egg                     :SILVERFISH_SPAWN_EGG
Skeleton Horse Spawn Egg                 :SKELETON_HORSE_SPAWN_EGG
Skeleton Spawn Egg                       :SKELETON_SPAWN_EGG
Slime Spawn Egg                          :SLIME_SPAWN_EGG
Sniffer Spawn Egg                        :SNIFFER_SPAWN_EGG
Snow Golem Spawn Egg                     :SNOW_GOLEM_SPAWN_EGG
Spider Spawn Egg                         :SPIDER_SPAWN_EGG
Squid Spawn Egg                          :SQUID_SPAWN_EGG
Stray Spawn Egg                          :STRAY_SPAWN_EGG
Strider Spawn Egg                        :STRIDER_SPAWN_EGG
Tadpole Spawn Egg                        :TADPOLE_SPAWN_EGG
Trader Llama Spawn Egg                   :TRADER_LLAMA_SPAWN_EGG
Tropical Fish Spawn Egg                  :TROPICAL_FISH_SPAWN_EGG
Turtle Spawn Egg                         :TURTLE_SPAWN_EGG
Vex Spawn Egg                            :VEX_SPAWN_EGG
Villager Spawn Egg                       :VILLAGER_SPAWN_EGG
Vindicator Spawn Egg                     :VINDICATOR_SPAWN_EGG
Wandering Trader Spawn Egg               :WANDERING_TRADER_SPAWN_EGG
Warden Spawn Egg                         :WARDEN_SPAWN_EGG
Witch Spawn Egg                          :WITCH_SPAWN_EGG
Wither Skeleton Spawn Egg                :WITHER_SKELETON_SPAWN_EGG
Wither Spawn Egg                         :WITHER_SPAWN_EGG
Wolf Spawn Egg                           :WOLF_SPAWN_EGG
Zoglin Spawn Egg                         :ZOGLIN_SPAWN_EGG
Zombie Horse Spawn Egg                   :ZOMBIE_HORSE_SPAWN_EGG
Zombie Spawn Egg                         :ZOMBIE_SPAWN_EGG
Zombie Villager Spawn Egg                :ZOMBIE_VILLAGER_SPAWN_EGG
Zombified Piglin Spawn Egg               :ZOMBIFIED_PIGLIN_SPAWN_EGG

Structure Block                          :STRUCTURE_BLOCK
Structure Void                           :STRUCTURE_VOID
Test Block                               :TEST_BLOCK
Test Instance Block                      :TEST_INSTANCE_BLOCK
Trial Spawner                            :TRIAL_SPAWNER
Vault                                    :VAULT
Air                                      :AIR
Water                                    :WATER
Water Bubble Column                      :BUBBLE_COLUMN
Air                                      :CAVE_AIR
Air                                      :VOID_AIR
Fire                                     :FIRE
Soul Fire                                :SOUL_FIRE
